ITEM,EN RegEx,GE Dieter,,GE RegEx,alt1,alt2,alt3,alt4,alt5,CorrectSwedishTranslation1,CorrectSwedishTranslation2,CorrectSwedishTranslation3,CorrectSwedishTranslation4,CorrectSwedishTranslation5,CorrectSwedishTranslation6,CorrectSwedishTranslation7,CorrectSwedishTranslation8,CorrectSwedishTranslation9,CorrectSwedishTranslation10,CorrectSwedishTranslation11,CorrectSwedishTranslation12,CommentAboutSwedishTranslation,Swedish regexp corrected,FR Louise,alt1,alt2,alt3,alt4,alt5,CATEGORY,CLOSURE,EN (SV) ACTION,GE ACTION,Source-peFinder,Source-Original ConText,Source-criticlEventFinder-in addition to peFinder,Source-BioscopeAll,Source-BioscopeFiltered,Source-Development-Round1,Zogg's items,Source-Swedish-physician,Source-Swedish Guidelines,Ignore-ID from toCorrectReplacedRegEx_Final_toWendy.xlsx
may be,,mag sein,,(dürfte|mag|könnte)\ssein,,,,,,skulle kunna vara,kanske,kanhända,,,måhända,,kanhända,,,,,,,,,,,,,probableExistence,,forward,discontinuous,,,,,,,,1,,
may represent,"r""""""(may|might)\srepresent""""""",dürfte widerspiegeln,,(dürfte|mag)\s.*?\b(widerspiegeln|darstellen|repräsentiern)\b,darstellen,repräsentieren,,,,skulle kunna representera,,,,,,,,,,,,strength: may/can,(skulle kunna|kan)\srepresentera,,,,,,,probableExistence,,forward,discontinuous,1,,,,,,,,,307
not certain,,nicht sicher,,,unsicher,,,,,inte säker,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,discontinuous,1,1,,,,,,,,142
not exclude,,nicht ausschließen,,nicht\sausschließen|schließt\s.*?\bnicht\b\saus),,,,,,,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,discontinuous,,,,1,1,,,,,
not excluded,"r""""""not\s(excluded|ruled\sout)""""""",nicht ausgeschlossen,,nicht\sausgeschlossen|schloss\s.*?\bnicht\b\saus),,,,,,utesluts inte,uteslöts inte,inte utesluten,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,discontinuous,,,1,1,1,,,,,
not improbable,,nicht unwahrscheinlich,,,,,,,,ej osannolik,,,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,backward,,,,,,,,,1,
not sure,,nicht sicher,,,,,,,,,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
noted,,bemerkte,,(bemerkt|bemerkt(e|en)|stellt(e|en)\s.*?\bfest\b|merkt(e|en)\s.*?\ban\b,festgestellt,angemerkt,,,,möjligt,möjlig,möjliga,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,bidirectional,1,,,,,,,,,320
or,,oder,,,bzw.,beziehungsweise,,,,,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,,,,,,
perceived as,,verstanden,,als\s.*?\b(verstanden|aufgefasst|wahrgenommen)\b,aufgefasst,,,,,uppfattas som,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,,1,
perhaps,,vielleicht,,,eventuell,,,,,eventuellt,måhända,möjligen,kanhända,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
points to,,weist auf,,(weist|weisen|deuten|deutet)\sauf\s.*?\bhin\b?,deutet auf,,,,,pekar,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,89,,,,
possible,,möglich,,,kann sein,,,,,möjlig,eventuell,vettig,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,1,,
possibly,,möglicherweise,,,,,,,,möjligen,möjligtvis,det är möjligt,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,1,
potential,,Potenzial,,,Potential,Möglichkeit,Chance,,,potentiell,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
preliminary,,vorläufg,,"(vorläufg.{0,2}|temporär.{0,2}|zeitweilig.{0,2})",temporär,zweitweilig,,,,preliminärt,prel,,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,bidirectional,,,,,,20,,,,
presumably,,vermutlich,,,wahrscheinlich,evetuell,,,,antagligen,förmodligen,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
presumed,,mutmaßlich,,(unter\sder\sVoraussetzung|vorausgesetzt|voraussetzend|mutmaßlich|präsumptiv),vorausgesetzt,unter der Voraussetzung,,,,förmoda,förmodade,förmodligen,troligen,antog,presumtiv,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
presumptive,,voraussetzend,,"\bpräsumptiv.{0,2}\b",präsumptiv,,,,,presumtiv,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
probable,,wahrscheinlich,,,,,,,,trolig,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
probable cause,,wahrscheinliche Ursache,,"(wahrscheinlich.{0,2}|vermutlich.{0,2})\s(Ursache|Grund)",wahrscheinlicher Grund,,,,,möjlig orsak,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,54,,,,
probably,,wahrscheinlich,,"(wahrscheinlich.{0,2}|vermutlich.{0,2})",vermutich,,,,,troligen,troligtvis,sannolik,probabel,trolig,troliga,troligt,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,,1,
question,,Frage,,,,,,,,betvivlar,fråga sig,fråga,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
questionable,,fragwürdig,,"\b(fragwürdig.{0,2}|fraglich.{0,2}\b",fraglich,,,,,misstänkt,ifrågasättas,,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,bidirectional,,,,1,1,,,,,
raise the question of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,,,,,1,1,,,,,
raises question of,,wirft die Frage auf,,((wirft|werfen)\sdie?s\Frag(e|en)\sauf|(stellt|stellen)\ssich\sdies\Frage),,,,,,,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
raises the question of,,wirft die Frage nach,,,,,,,,,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,bidirectional,,,,1,1,,,,,
raising the possibility of,,ergibt sich die Möglichkeit,,((ergibt|ergeben)\ssich\sdie\sMöglich(keit|keiten))|(ist|sind)\sdie\sMöglich(keit|keiten)\sgegeben),,,,,,möjligheten att,väcker förslaget,föreslår,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
raising the question of,,stellt sich die Frage zu,,,,,,,,ta upp frågeställningen,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
reasonable,,angemessen,,,sinnvoll,,,,,rimlig,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
reportedly,,,,,,,,,,enligt vad som påstås,tydligen,enligt uppgift,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,,,,,1,1,,,,,
representing,,vertreten,,,repräsentieren,,,,,representerande,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
represents,,vertritt,,,repräsentiert,,,,,representerar,,,representerar,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,1,,,,,,,,,311
seems like,,scheint wie,,(erscheint|scheint)\s(wie|als),erscheint wie,sieht aus wie,,,,tyder på,ter det sig som,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,15,,,,
seen,"r""(seen|visualized|observed)""",gesehen,,,verstanden,,,,,sett,observerade,,,,,,,,,,,,,,,,,,,probableExistence,,backward,backward,1,,,,,,,,,314
seen best,,bestens zu sehen,,,am besten zu sehen,,,,,ses bäst,,,,,,,,,,,,,,,,,,,,probableExistence,,backward,backward,1,,,,,,,,,302
should,,sollte,,,,,,,,borde,skulle,torde,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,,,,,,
should be considered,,sollte berücksichtigt werden,,,sollte in Betracht gezogen werden,sollte erwogen werden,,,,bör övervägas,,,,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,backward,,,1,,,,,,,
signs of,,Anzeichen von,,(Anzeichen\svon|Hinweise\sauf),Hinweise auf,,,,,tecken på,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,68,,,,
somewhat suspected,,irgendwie in Verdacht,,,etwas verdächtig,,,,,viss misstanke,,,,,,,,,,,,,,,,,,,,probableExistence,,backward,backward,,,,,,,,,1,
speaks for,,spricht für,,,,,,,,talar för,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,,1,
strong suspicion,,starker Verdacht,,((stark(er|en)|ernsthaft(er|en))\sVerdacht|stark\sverdächtig),ernster Verdacht,stark verdächtig,,,,stark misstanke,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,,1,
suggest,"r""""""\bsuggest\b""""""",vorschlagen,,(schlagen)s.*?\bvor\b,,,,,,framkastar,låta förstå,påminna om,påminner om,påstå,påstår,,,,,,,,,,,,,,,probableExistence,,forward,discontinuous,1,,,1,1,,,,,
suggested,,schlug vor,,(schlugen|schlug)s.*?\bvor\b,,,,,,föreslagen,föreslog,påminde om,påstod,,,,,,,,,,,,,,,,,probableExistence,,bidirectional,discontinuous,,,,1,1,,,1,,
suggestion,,Vorschlag,,,,,,,,antydan,antagande,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
suggestive,,suggestiv,,"(suggestiv.{0,2})",,,,,,antyder,indikerar,tankeväckande,,,,,,,,,,wrong word,,,,,,,,probableExistence,,forward,forward,1,,,1,1,,,,,305
suggests,"r""""""\bsuggests\b""""""",schlägt vor,,(schlägt)s.*?\bvor\b,,,,,,,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,discontinuous,1,,,1,1,,,,,
supporting,,unterstützend,,,,,,,,stödjer,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
suppose,,annehmen,,(nimmt\s.*?\ban\b|annehmen),,,,,,förmodar,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,1,,
suspect,,vermuten,,,verdächtigen,mutmaßlichen,,,,suspekt,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,,,,,,1,
suspected,,vermuteten,,"\b(vermutet.{0,2}|verdächtigt.{0,2})|mutmaßlich.{0,2}\b",verdächtigten,,,,,misstänkt,suspekt,men det är bra ttriggrar,,,antyda,väcka tanken på,väcka associationer till,låta ana,antydan,,,,,,,,,,,probableExistence,,bidirectional,bidirectional,,,,1,1,,,,,
suspicion,,Verdacht,,,,,,,,misstanke,misstanken,,,,,,,,,,,as a compound word with diagnosis,,,,,,,,probableExistence,,forward,forward,,,,,,,,,1,
suspicion for,,Verdacht auf,,,,,,,,misstanke om,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
suspicious,,verdächtig,,,misstrauisch,,,,,,misstänkta,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,1,,,1,1,,,,,313
the possibility,,die Möglichkeit,,,die Chance,die Option,,,,,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
thought,,dachte,,,glaubte,vermutete,,,,fundering,funderingar,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
unclear,,unklar,,,ambig,,,,,otydlig,otydliga,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
unsure,,unsicher,,,,,,,,osäker,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,1,,,,,
was seen as,,wurde als interpretiert,,"wurd.{0,2}\s(interpretiert|angesehen|verstanden)",wurde angesehen,wurde verstanden,,,,uppfattades som,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,bidirectional,,,,,,,,1,,
whether,,ob,,,,,,,,om,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,,,,,,
worrisome,,besorgniserregend,,,bedenklich,,,,,oroande,,,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,1,,,,,,,,,315
would,,würde,,\b(würde|würden)\b,,,,,,skulle vilja,kunde,torde,,,,,,,,,,,,,,,,,,probableExistence,,forward,forward,,,,1,,,,,,
absence of,,auf Grund des Fehlens von,,(auf\sGrund|aufgrund|wegen|mit)\s(des|dem)\s(Fehlen(s)?|Ausbleiben(s)?)\s(des|der|von|dieses|dieser),mit dem Fehlen von,,,,,frånvaro av,,,,,,,,,,,,,,absence de,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,55
adequate to rule her out,,,,,,,,,,tillräckligt för att utesluta henne,,,,,,,,,,,,"wrong word / swedish: we don't rule out patient against disorde, we rule out disorder for patient",,"devraient être écartées, devraient être écartés",devraient être éliminées,devraient être éliminés,devrait être écartée,devrait être écarté,"devrait être éliminée, devrait être éliminé",probableNegatedExistence,,forward,,1,,,,,,,,,56
adequate to rule her out for,"r""""""adequate\sto\srule\s(her|him)\sout\sfor""""""","angemessen, sie davon auszuschließen",,"(angemessen|hinreichend|adäquat)(,\s|\s)?(sie|ihn|es|den\sPatienten|\sdie\sPatient(en|in|innen))\s(davon|dafür|deswegen|von\s.*?)\s\b(auszuschließen|nicht\zu\sberücksichtigen|nicht\sin\sBetracht\szu\sziehen)",,,,,,adekvat att utesluta henne,,,,,,,,,,,,adequate and sufficient are both translated to tillräckligt. I'm not sure that's right.,adekvat\satt\sutesluta\s(henne|honom),,,,,,,probableNegatedExistence,,forward,discontinuous,1,,,,,,,,,14
adequate to rule him out,,,,,,,,,,tillräckligt för att utesluta honom,adekvat att utesluta honom,,,,,,,,,,,adequate and sufficient are both translated to tillräckligt=enough.,,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,10
adequate to rule him out for,,,,,,,,,,adekvat för att utesluta honom,,,,,,,,,,,,"wrong word / swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,probableNegatedExistence,,forward,forward,1,,,,,,,,,36
adequate to rule out,,,,,,,,,,adekvat att utesluta,,,,,,,,,,,,adequate and sufficient are both translated to tillräckligt. I'm not sure that's right.,,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,16
adequate to rule out for,,,,,,,,,,adekvat för att utesluta,,,,,,,,,,,,"wrong word / swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,43
adequate to rule the patient out,,,,,,,,,,adekvat att utesluta patienten,,,,,,,,,,,,"wrong word / swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,32
adequate to rule the patient out for,,,,,,,,,,adekvat för att utesluta att patienten,tillräckligt för att utesluta patienten mot,,,,,,,,,,,"wrong word / swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,64
can rule her out,,,,,sie kann nicht in Betracht kommen,sie kommt nicht in Frage,,,,kan utesluta henne,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,33
can rule her out against,"r""""""can\srule\s(her|him)\sout\sagainst""""""",sie kann davon ausgeschlossen werden,,(sie|er|es|der\sPatient|die\sPatient(en|in|innen))\s(kann|können)(\s(davon|dafür|deswegen|durch|auf\sGrund\von|von))?(\s.*?)?\s(ausgeschlossen|nicht\sberücksichtigt|nicht\sin\sBetracht\sgezogen)\swerden,sie kann dafür nicht in Betracht kommen,sie kann dafür nicht in Frage kommen,,,,kan utesluta henne mot,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",kan\sutesluta\s(henne|honom)\smot,,,,,,,probableNegatedExistence,,forward,discontinuous,1,,,,,,,,,69
can rule her out for,,,,,,,,,,kan utesluta henne för,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,42
can rule him out for,,,,,,,,,,kan utesluta att han,kan utesluta honom mot,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,57
can rule out for,,,,,,,,,,kan utesluta,,,,,,,,,,,,missing preposition,,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,41
can rule the patient out,,,,,,,,,,kan utesluta att patienten har,,,,,,,,,,,,compound,,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,24
can rule the patient out for,,,,,,,,,,kan utesluta patienten,,,,,,,,,,,,"swedish: we don't rule out patient against disorde, we rule out disorder for patient",,,,,,,,probableNegatedExistence,,forward,,1,,,,,,,,,13
cannot be excluded,"r""""""(cannot|can\snot)\sbe\sexcluded""""""",kann nicht ausgeschlossen werden,,(kann|können)(\sman)?\snicht(\svollkommen)?\s(ausgeschlossen|ausschließen)(\swerden)?,,,,,,kan inte uteslutas,kan inte exkluderas,kan ej exkluderas,kan ej uteslutas,,,,,,,,,,,,,,,,,probableNegatedExistence,,backward,backward,1,,,1,1,,,,,2
cannot exclude,"r""cannot\sexclude""",kann man nicht ausschließen,,,,,,,,kan inte utesluta,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,backward,,,1,,,,,,,
cannot see,,kann nicht gesehen,,(kann|können)(\sman)?\snicht\s(gefunden|gesehen|finden|sehen),kann man nicht sehen,,,,,kan inte se,,,,,,,,,,,,,,ne peut pas voir,ne peuvent pas voir,ne pouvons pas voir,,,,probableNegatedExistence,,forward,backward,1,1,,,,,,,,65
could be ruled out,,könnte ausgeschlossen werden,,"(könnt.{0,2}|können|kann)(\sman)(\snicht)?\s(ausgeschlossen|ausschließen|in\sBetracht\sgezogen|unberücksichtigt(\sbleiben)?|berücksichtigt(\sbleiben)?)(\swerden)?",,,,,,kan uteslutas,kunde uteslutas,,,,,,,,,,,,,"pourraient être écartées, pourraient être écartés","pourraient être éliminées, pourraient être éliminés","pourrait être écartée, pourrait être écarté",pourrait être éliminée,pourrait être éliminé,,probableNegatedExistence,,bidirectional,backward,1,,,,,,,,,159
could not exclude,,könnte nicht ausgeschlossen werden,,,,,,,,,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,backward,,,,1,1,,,,,
denying,,verneinen,,(vernein(t|en|end|test)|bestreit(et|en|end|est)|weist\s.*?\bzurück|zurückweisend|lehn(t|en|st)\s.*?\bab\b|ablehnend),bestreiten,zurückweisen,,,,förnekar,,,,,,,,,,,,tens,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,58
do not think these findings speak for,,"denken Sie nicht, dass diese Ergebnisse dafür sprechen",,"\b(denk.{0,2}|glaub.{0,2}|nehm.{0,2})\b\s(sie|Sie)?\snicht(\s.*?\ban\b)?,\sdass\s(d(ie|as|er|iese|ieses))\s(Befund|Ergebni(s|se)|Resulta(t|te)|Daten)\bdafür\b\ssprechen\b",,,,,,ej tycker att dessa fynd talar för,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,,,,,,5,,,,
doubt,,Zweifel,,\b(Zweifel|Bedenken|Unsicherheit)\b,Bedenken,Unsicherheit,,,,betvivla,tvivla,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,,,,,,,,1,,
doubtful,,zweifelhaft,,\b(zweifelhaft|fraglich|bedenklich|unsicher)\b,fraglich,unsicher,bedenklich,,,tvivlar,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,bidirectional,bidirectional,,,,1,1,,,,,
exclude,,schließt man aus,,"\bschließ.{0,2}\b(\s.*?)?(\s(man|es))?\s\baus\b",,,,,,undanta,exkludera,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,discontinuous,,,,1,1,,,,,
fails to reveal,,zeigt sich nicht,,(zeigt\ssichs\nicht|kommt\snicht\szum\sVorschein),kommt nicht zum Vorschein,,,,,misslyckas att visa,går inte att visa,,,,,,,,,,,wrong word sense,,,ne révèlent pas,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,45
is not excluded,"r""""""(is|was|are|were)\snot\sexcluded""""""",wird nicht ausgeschlossen,,,,,,,,är inte uteslutet,är inte exkluderat,,,,,,,,,,,,(är|var)\sinte\suteslutet,,,,,,,probableNegatedExistence,,backward,backward,1,,,,,,,,,3
is not indicated,,deutet sich nicht an,,((weist|weisen)\snicht(\sdarauf)?(\sauf\s.*?)?\s\bhin\b|(wird|werden)\snicht\sindiziert|deutet\ssich\snicht(\s.*?)?\san),wird nicht indiziert,weist nicht darauf hin,,,,ej är indicerad,,,,,,,,,,,,,,pas d'indice,,,,,,probableNegatedExistence,,backward,backward,,,,,,4,,,,
low probability,,geringe Wahrscheinlichkeit,,"\b(gering.{0,2}|niedrig.{0,2})\b\s(Wahrscheinlichkeit(en)?|Chance(n)?)",geringe Chance,,,,,låg sannolikhet,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,,,1,,,,,,,
no abnormal,,keine abnormale,,"\bkein.{0,2}\b\s(abnormale(n)?|unnormale(n)?|atypische(n)?|untypische(n)?)",keine unnormale,keine untypische,,,,ingen onormal,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,60
no cause of,,keine Ursache für,,"\bkein.{0,2}\b\s(Grund|Gründe|Ursache(n)?)\sfür",kein Grund für,,,,,ingen orsak,ingen orsak till,,,,,,,,,,,,,ne cause pas,ne causent pas,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,66
no complaints of,,keine Beschwerden zu,,"\bkein.{0,2}\b\s(Beschwerde(n)?|Klage(n)?|Einwände(n)?)\s(zu|über|hinsichtlich|gegen|in\sBezug\sauf|bezüglich|in\sHinsicht\sauf)",keine Einwände gegen,keine Klagen zu,,,,inga besvär av,inget besvär av,,,,,,,,,,,,,ne se plaint pas de,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,39
no definite,"r""""""no[\s]*definite""""""",keine eindeutige,,"\bkein.{0,2}\b\s(definitiv(e|en)|eindeutig(e|en))",keine definitive,,,,,inga definitiva,ingen definitiv,,,,,ingen säker,inga säkra,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,1,,,,,,,,,30
no demonstrated,,nicht nachgewiesen,,,nicht nachweisbar,,,,,ingen påvisad,,,,,,,,,,,,,,pas de preuve,,,,,,probableNegatedExistence,,forward,backward,,,,,,161,,,,
no findings of,,keinen Hinweis auf,,"\bkein.{0,2}\b\s(Hinweis(e)?|Resultat(e)?|Beleg(e)?|Anzeichen|Nachweis(e)?|Nachweis(e)?)\s(auf|für|zu|über|gegen)",kein Anzeichen für,kein Nachweis für,,,,inga fynd av,inga slutsatser,,,,,,,,,,,wrong word,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,7
no findings to indicate,,"keine Ergebnisse, die es andeuten",,"\bkein.{0,2}\b\s(Hinweis(e)?|Resultat(e)?|Beleg(e)?|Anzeichen|Nachweis(e)?|Nachweis(e)?)(,)?(\s)?(d(ie|as|er)|welche(s|r)?)\s(andeute(t|n)|verdeutlich(t|en)|darauf\shinweisen|auf\s.*?\s\bhinweisen\b)","kein Resultat, das darauf hinweist","kein Ergebnisse, die verdeutlichen",,,,inga fynd som tyder på,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,discontinuous,1,1,,,,,,,,25
no grounds for,,kein Beleg für,,"\bkein.{0,2}\b\s(Beleg|Belege|Gründe|Grund)\sfür",keine Belege für,kein Grund für,keine Gründe für,,,inga hållpunkter för,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,,,,,,,,,1,
no indication of,,keinen Hinweis auf,,"\bkein.{0,2}\b\s(Hinweis|Hinweise|Indiz|Indizien|Verdacht|Anhaltspunkt|Anzeichen|Zeichen|Informationen)\s(zu|von|über|hinsichtlich|gegen|in\sBezug\sauf|bezüglich|in\sHinsicht\sauf)",kein Indiz für,keine Hinweise für,keine Indizien für,keine Anzeichen für,,inget tyder på,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,,,,,,,,,1,
no obvious,,kein offensichtlicher,,"\bkein.{0,2}\b\soffensichtlich.{0,2}\b",keine offensichtliche,keine offensichtlichen,,,,ingen uppenbar,,,,,,,,,,,,,,ne manifeste pas,,,,,,probableNegatedExistence,,forward,forward,1,,,,,,,,,38
no sign of,,kein Zeichen,,kein Anzeichen von,"\bkein.{0,2}\b\s(Anzeichen|Zeichen)\svon",kein Anzeichen von,keine Anzeichen von,keine Zeichen von,,inga tecken på,,,,,,,,,,,,,,pas de signe de,pas de signe d',,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,29
no significant,,keine signifikante,,"\bkein.{0,2}\b\s(signifikant{0,2}|deutlich{0,2}|wesentlich{0,2}|maßgeblich{0,2})",kein signifikanter,keinen signifikanten,,,,ingen signifikant,inget signifikant,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,35
no signs of,,keine Anzeichen von,,,keine Anzeichen für,,,,,inga tecken på,,,,,,,,,,,,,,pas de signes de,pas de signes d',,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,59
no suggestion of,,keinen Hinweis auf,,"\bkein.{0,2}\b\s(Hinweis|Hinweise|Indiz|Indizien|Verdacht|Anhaltspunkt|Anzeichen|Zeichen|Informationen)\s(zu|von|über|hinsichtlich|gegen|in\sBezug\sauf|bezüglich|in\sHinsicht\sauf)",,,,,,ingen antydan om,inga tecken på,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,9
no sure,,nicht sicher,,(unsicher|ungewiss|nicht\ssicher),,,,,,inga säkra,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,,,,,,70,,,,
not a sure,,nicht eine sichere,,"(nicht\sein.{0,2}\s\bsicher.{0,2}\b|ein.{0.2}\sunsicher.{0,2}|ein.{0.2}\sunsicher.{0,2})",nicht ein sicherer,,,,,ingen säker,,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,,,,,,,,,1,
not appreciate,,schätzen nicht,,"(schätz.{0,2}|würdig.{0,2}|achte.{0,2}|begrüß.{0,2})\snicht",achten nicht,würdigen nicht,begrüßen nicht,,,inte uppskattar,inte uppskatta,,,,,,,,,,,,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,50
not associated with,,keine Assoziation mit,,"(\bkein.{0,2}\b\sAssoziation\smit|nicht\smit\s.*?\b(assoziiert|verbunden)\b|steht\snicht\sim\sZusammenhang\mit|kein.{0,2}\s(Zusammenhang|Zusammenhänge|Verbindung)\smit)",nicht verbunden mit,,,,,inte är associerade med,inte associerad med,ej associerad med,,,,,,,,,,,,pas associé avec,pas associée avec,pas associés avec,pas associées avec,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,40
not complain of,,keine Beschwerden,,"\bkein.{0,2}\b\s(Beschwerden|Klagen|Einwand|Einwände)\s(zu|über|in\sBezug\shinsichtlich\sbezüglich)",keine Klagen,,,,,inte klaga på,inte klagar på,,,,,,,,,,,tens,,,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,51
not demonstrate,,zeigt kein,,"(nicht\s(angezeigt|nachweisbar|demonstriert)|zeigt\skein.{0,2})",nicht angezeigt,,,,,inte påvisa,,,,,,,,,,,,,,ne montre pas,ne montrent pas,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,52
not feel,,nicht das Gefühl,,,fühlt sich nicht,,,,,inte känna,känner inte,,,,,,,,,,,,,ne ressent pas,,,,,,probableNegatedExistence,,forward,forward,1,1,,,,,,,,37
